product_name,food_groups_en,nova_group,nutriscore_grade,nutriscore_score,ecoscore_grade,ecoscore_score,ingredients_text
Bio Walnusskerne Achtel kerne,"Salty snacks,Nuts",1,b,-2,d,33.0,100% Organic Walnut kernels (Juglans regia)
Potiron et j’irai,"Fruits and vegetables,Soups",4,b,1,a,78.0,"4% eau, potiron 19%, carotte, oignon, fromage blanc fondu Kiri 3,1% (fromage blanc, crème, protéines de lait, sels de fonte: polyphosphates phosphates et citrates de sodium, acide citrique, sel, pomme de terre, jus de tomates à base de concentré, amidon transformé de maïs, crème, sel, arômes (contient : lait), lait écrémé en poudre. Peut contenir des traces de céleri, blé et oeuf."
Bio te verde,"Beverages,Unsweetened beverages",1,b,0,a-plus,105.0,100% té verde. Procedente de agricultura ecológica.
Pâte a tartiner,"Sugary snacks,Sweets",4,e,21,d,31.0,"50% noisettes locales (82), 29% sucre de canne Bio, 19% chocolat au lait (composé de sucre, beurre de cacao, poudre de lait ècrèmė, lactose, extrait de malt d'orge, lécithine de soja, aróme vanille, peut contenir du blé et des fruits à coque), 2% Cacao amer, hulle de pépins de raisin, sel, extrait de vanille de Guadeloupe."
Avocats surgelés,"Fruits and vegetables,Fruits",1,a,-6,c,57.0,"99% Avocats (Persea Americana), acide ascorbique, acide citrique."
Suédois Poulet,"Composite foods,Sandwiches",4,c,3,d,42.0,"40,8% : Farine de BLE, eau, farine de SEIGLE 15%, sucre, sirop de sucre, huile de colza, GLUTEN DE BLE, sel, levure, levain en poudre, émulsifiants : E471, E472e, poudre à lever E503, fructose, farine de malt d'ORGE, agent de traitement des farines : E300, enzymes. Garniture : 59,2% : Salade verte 34,5%, filet de poulet rôti 27,6% (filet de poulet 99% origine France], Eau, dextrose, huile de tournesol, sel, protéines de pois, arômes, stabilisant E451, fibre de blé sans gluten. gélifiant E407a), carottes räpées 20,7%, MAYONNAISE 13,8% (huile de colza 68,5%, eau, vinaigre, jaune d'OEUF 5% MOUTARDE de Dijon [eau, graine de MOUTARDE, vinaigre, sel, antioxydant DISULFITE de potassium, acidifiant: acide oltrique)"
tortellini 4 fromages sauce crème,"Cereals and potatoes,Cereals",4,d,11,c,55.0,"50% (eau, semoule de BLE dur, FROMAGE 7,9% [GORGONZOLA AOP 2,6%, FROMAGE à pâte dure 2,6%, FROMAGE à pâte mi-dure 1,6%, GOUDA 1,1%], farine de FROMENT, CEUFS 2,9%, RICOTTA 1,1%, sel, arôme [contient LAIT], BEURRE concentré, LAIT écrémé en poudre, épices, protéines de LAIT), haricots verts 27,8%, OOUR VOUS CREME FRAICHE 18% MG 13,3% (CREME légère de LẠIT, émulsifiant E472e, amidon modifié, stabilisants: E440, E407), EMMENTAL râpé 4,4% (LAIT de vache pasteurisé, sel, FERMENTS LACTIQUES, antiagglomérant} FARINE 1,1%, BEURRE 1,1% (CREME fraîche pasteurisée, FERMENTS LACTIQUES), huile d'olve ail persil. sel poivre"
,"Fruits and vegetables,Vegetables",3,b,2,b,65.0,"28% Erbsen*, 27% Karotten*, 24% Blumenkohl*, 9% Mais*, 8% Butter*, 1,5% Petersilie*, Meersalz, Rohr - zucker*, Stärke*, Gewürze*. *aus kontrolliert ökologischer Landwirtschaft"
THẠCH RAU CÂU HƯƠNG TRÁI CÂY TỔNG HỎ - ASSORT FAVOR MINI FRUITY GELS,"Sugary snacks,Sweets",4,c,7,b,65.0,"80 NC 2, au ax xương, Geleù Aux Fruits Assortie. Ingreùdients: Eaux 75%, sucre 20%, nata de coco 3%, algue 1%, poudre de koniao 0.5%, citrique acide E330, aromes naturel (ananas, pommes, raisin, fraises) colorant jaune sunset FCF E110, rouge allira E129 & E133. Poids: 300 Gr (Rau câu trái cây tổng hợp)"
Smoothie Banana mix,"Beverages,Unsweetened beverages",1,c,6,d,39.0,"60% Erdbeeren, 40% Bananen"
